id,first_name,last_name,email,age,gender,state,street_address,postal_code,city,country,latitude,longitude,traffic_source,created_at
8923,Alexandria,Hernandez,alexandriahernandez@example.com,65,F,Acre,0455 Ramos Stravenue Apt. 481,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Organic,03/08/2020 18:06:00
35560,Victor,Mcfarland,victormcfarland@example.com,35,M,Acre,31680 Donald Hollow Suite 167,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,23/12/2021 15:48:00
48084,Anne,Contreras,annecontreras@example.com,54,F,Acre,0640 Kerry Views,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,01/09/2022 01:59:00
49908,Troy,Watts,troywatts@example.net,65,M,Acre,866 Courtney Tunnel,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,18/11/2022 02:26:00
57731,Barbara,Sanchez,barbarasanchez@example.com,12,F,Acre,0011 Diaz Shores,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,18/11/2021 15:54:00
60029,Gabrielle,Sanders,gabriellesanders@example.org,61,F,Acre,743 Robert Common Apt. 360,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Organic,10/04/2023 14:02:00
67608,Johnny,Neal,johnnyneal@example.com,26,M,Acre,8136 Hancock Walks,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Organic,05/05/2022 04:36:00
70106,Sara,Combs,saracombs@example.net,40,F,Acre,061 William Motorway,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,16/08/2019 01:02:00
75832,David,Hernandez,davidhernandez@example.org,55,M,Acre,43144 Amanda Spur Apt. 798,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,14/04/2022 11:54:00
79724,Betty,Snyder,bettysnyder@example.com,46,F,Acre,2412 Dorsey Knolls,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,22/01/2023 16:21:00
88095,Matthew,Hernandez,matthewhernandez@example.com,29,M,Acre,4566 Patrick Oval,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,09/05/2020 15:48:00
4876,Natalie,Williams,nataliewilliams@example.org,61,F,Acre,007 George Stravenue,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Organic,30/08/2019 00:56:00
18420,Nicholas,Smith,nicholassmith@example.org,21,M,Acre,5924 Carla Plains,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,07/10/2023 12:46:00
31869,Christina,Martinez,christinamartinez@example.org,42,F,Acre,02659 Singh Throughway,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,21/10/2020 12:00:00
31932,Andrew,Knapp,andrewknapp@example.net,21,M,Acre,51382 Johnson Track,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,29/10/2021 17:13:00
32053,William,Mccarthy,williammccarthy@example.org,17,M,Acre,1140 Warren Corners Suite 248,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Display,27/09/2022 00:06:00
40091,Cynthia,Leach,cynthialeach@example.org,56,F,Acre,90502 Melissa Garden,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,07/03/2023 13:32:00
50660,Ronald,Perez,ronaldperez@example.net,31,M,Acre,550 Butler Plain,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,11/12/2019 04:16:00
51848,Melissa,Butler,melissabutler@example.net,16,F,Acre,41214 Morgan Flat Suite 461,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Facebook,12/01/2021 14:21:00
53258,William,Sullivan,williamsullivan@example.com,31,M,Acre,290 Hunt Terrace,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,16/02/2020 07:55:00
53726,Aaron,Warren,aaronwarren@example.com,70,M,Acre,4725 Savannah Viaduct,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Facebook,22/10/2021 07:16:00
58626,Catherine,Willis,catherinewillis@example.net,49,F,Acre,67920 Thomas Loaf,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,27/08/2020 18:27:00
70994,Mark,Daniels,markdaniels@example.net,40,M,Acre,18468 Turner Highway Apt. 189,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,25/04/2020 05:10:00
86208,Richard,Lawrence,richardlawrence@example.net,33,M,Acre,4782 Peterson Fork,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,24/11/2022 10:24:00
92536,Joyce,Fuller,joycefuller@example.org,49,F,Acre,51290 Hogan Trail Apt. 272,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,30/05/2020 02:01:00
94723,Mallory,Lyons,mallorylyons@example.net,42,F,Acre,8444 Conley Shores,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Facebook,25/10/2022 02:59:00
98753,Kimberly,Parker,kimberlyparker@example.net,28,F,Acre,49474 Fritz Groves Suite 591,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Email,19/10/2022 10:15:00
18336,Angela,Freeman,angelafreeman@example.com,41,F,Acre,343 Evan Isle,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Organic,22/10/2021 01:03:00
23417,Melissa,Potter,melissapotter@example.org,68,F,Acre,0682 Wilson Common Apt. 384,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,16/09/2022 11:48:00
27997,Patrick,Ward,patrickward@example.com,46,M,Acre,214 John Roads,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,25/08/2023 14:41:00
47306,Mitchell,Mcintosh,mitchellmcintosh@example.com,44,M,Acre,58370 Shane Port,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,18/03/2020 06:28:00
59327,Susan,Caldwell,susancaldwell@example.org,68,F,Acre,5225 Brian Drive Suite 774,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,17/08/2019 00:13:00
4535,Stephanie,Reyes,stephaniereyes@example.org,68,F,Acre,0772 Wendy Vista Apt. 186,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,29/05/2021 17:37:00
9162,Isabella,Reilly,isabellareilly@example.org,12,F,Acre,89691 Ayers Points Apt. 281,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,25/08/2023 12:09:00
20319,Michael,Gill,michaelgill@example.net,70,M,Acre,66176 Andrew Oval,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,28/10/2022 06:21:00
36313,Teresa,Burnett,teresaburnett@example.com,32,F,Acre,28014 Eric Estate Apt. 904,69980-000,null,Brasil,-8.065346116,-72.87094866,Facebook,03/08/2019 07:32:00
41398,Madeline,Townsend,madelinetownsend@example.org,18,F,Acre,490 Amy Mountain,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,27/01/2020 02:42:00
57966,Sharon,Wilson,sharonwilson@example.org,46,F,Acre,77315 Corey Via Apt. 863,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,18/05/2021 09:17:00
64759,Katherine,Murphy,katherinemurphy@example.org,60,F,Acre,69668 Miller Fork Apt. 690,69980-000,null,Brasil,-8.065346116,-72.87094866,Facebook,26/05/2021 04:04:00
66642,Crystal,Gay,crystalgay@example.com,32,F,Acre,14199 Daniel Drives,69980-000,null,Brasil,-8.065346116,-72.87094866,Display,11/03/2020 02:01:00
76439,Thomas,Torres,thomastorres@example.net,17,M,Acre,51257 Charles Dale,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,20/09/2022 18:46:00
83665,Jeremiah,Garcia,jeremiahgarcia@example.net,14,M,Acre,5536 Stephen Forges Apt. 588,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,25/02/2023 01:55:00
98922,Colleen,Castro,colleencastro@example.org,20,F,Acre,5348 Huynh Summit,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,07/07/2021 05:19:00
99972,Peter,Peterson,peterpeterson@example.net,66,M,Acre,8167 Randy Hill Suite 217,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,17/05/2020 02:31:00
4963,Sherry,Lane,sherrylane@example.com,45,F,Gifu,795 Karen Fields Suite 025,507-0901,Tajimi City,Japan,35.2940372,137.1606303,Search,26/08/2023 17:42:00
28018,Kenneth,Sims,kennethsims@example.org,17,M,Gifu,6798 Zimmerman Flats Suite 142,507-0901,Tajimi City,Japan,35.2940372,137.1606303,Organic,13/02/2020 17:32:00
41833,Sharon,Ferguson,sharonferguson@example.net,31,F,Gifu,4470 Phyllis Drives,507-0901,Tajimi City,Japan,35.2940372,137.1606303,Search,13/06/2021 18:28:00
49067,Jacqueline,Li,jacquelineli@example.org,25,F,Gifu,14207 Justin Valleys,508-0001,Nakatsugawa City,Japan,35.44906316,137.5578777,Display,22/04/2020 01:08:00
95283,Lori,Burton,loriburton@example.com,52,F,Gifu,793 Alexis Hill Apt. 766,509-0206,Visa city,Japan,35.42476281,137.0152741,Search,03/05/2019 17:12:00
45033,Amanda,Allen,amandaallen@example.net,65,F,Iowa,870 Hess Bridge,50010,Ames,United States,42.03294842,-93.59109706,Search,04/02/2020 10:09:00
64315,Denise,Fitzgerald,denisefitzgerald@example.net,25,F,Iowa,2086 Haley Forest Suite 529,50010,Ames,United States,42.03294842,-93.59109706,Search,03/05/2022 03:48:00
89242,Anthony,Mcdowell,anthonymcdowell@example.com,25,M,Iowa,34240 Kimberly Trail,50010,Ames,United States,42.03294842,-93.59109706,Organic,14/04/2021 11:32:00
678,Justin,Brown,justinbrown@example.org,60,M,Iowa,39682 Amber Greens,50014,Ames,United States,42.05085639,-93.69778249,Search,03/03/2023 05:20:00
12294,Sarah,Logan,sarahlogan@example.org,33,F,Iowa,37865 Riley Well,50014,Ames,United States,42.05085639,-93.69778249,Organic,16/05/2020 17:06:00
12712,Erin,Andrews,erinandrews@example.com,66,F,Iowa,45187 Kevin Place,50014,Ames,United States,42.05085639,-93.69778249,Search,30/09/2019 01:57:00
60663,Erica,Smith,ericasmith@example.com,63,F,Iowa,4700 Stanton Pike,50014,Ames,United States,42.05085639,-93.69778249,Email,20/11/2023 14:28:26
78819,Jacqueline,Hayes,jacquelinehayes@example.org,42,F,Iowa,71754 Walker Grove Apt. 743,50014,Ames,United States,42.05085639,-93.69778249,Search,17/11/2023 06:29:33
97287,Beth,Bowman,bethbowman@example.org,56,F,Iowa,52831 Charles Turnpike,50014,Ames,United States,42.05085639,-93.69778249,Search,31/10/2023 13:26:00
16449,Brooke,Gonzales,brookegonzales@example.com,45,F,Iowa,2978 Cody Gardens,50021,Ankeny,United States,41.72312769,-93.57319618,Search,25/04/2023 03:10:00
27357,Scott,Thompson,scottthompson@example.net,39,M,Iowa,163 Christian Points Apt. 651,50021,Ankeny,United States,41.72312769,-93.57319618,Facebook,15/06/2021 05:46:00
37144,Bruce,Davis,brucedavis@example.com,49,M,Iowa,24316 Katie Mews Apt. 976,50021,Ankeny,United States,41.72312769,-93.57319618,Search,07/07/2023 05:30:00
41811,James,Carroll,jamescarroll@example.org,70,M,Iowa,72883 Castro Center,50021,Ankeny,United States,41.72312769,-93.57319618,Search,02/11/2022 18:47:00
2348,Christopher,Williamson,christopherwilliamson@example.com,42,M,Iowa,58462 Jeffrey Lake,50023,Ankeny,United States,41.72692042,-93.63137457,Search,09/09/2023 01:33:00
17787,Steven,Reed,stevenreed@example.org,65,M,Iowa,476 Christina Spurs,50023,Ankeny,United States,41.72692042,-93.63137457,Search,17/04/2020 12:31:00
33482,Nathaniel,Chan,nathanielchan@example.net,55,M,Iowa,4073 Marshall Curve Apt. 490,50023,Ankeny,United States,41.72692042,-93.63137457,Search,21/05/2021 03:23:00
34070,Joseph,Weaver,josephweaver@example.org,66,M,Iowa,251 Megan Burg Apt. 125,50023,Ankeny,United States,41.72692042,-93.63137457,Search,09/04/2019 06:44:00
56432,Marc,Thompson,marcthompson@example.org,67,M,Iowa,50425 Taylor Junctions,50023,Ankeny,United States,41.72692042,-93.63137457,Search,16/08/2023 06:35:00
61267,Thomas,Dorsey,thomasdorsey@example.org,55,M,Iowa,85219 Walter Groves Suite 780,50023,Ankeny,United States,41.72692042,-93.63137457,Organic,18/04/2021 00:37:00
27152,Christine,Baker,christinebaker@example.com,65,F,Iowa,72589 Alicia Cape,50158,Marshalltown,United States,42.05021584,-92.90257229,Search,05/01/2022 01:10:00
72420,Tyler,Salinas,tylersalinas@example.org,67,M,Iowa,95791 Gentry Shore Suite 656,50158,Marshalltown,United States,42.05021584,-92.90257229,Search,14/05/2021 00:06:00
95516,Shelby,Christian,shelbychristian@example.org,69,F,Iowa,4182 Shannon Unions Apt. 413,50158,Marshalltown,United States,42.05021584,-92.90257229,Organic,09/04/2022 07:35:00
31537,Natalie,Pruitt,nataliepruitt@example.net,51,F,Iowa,84257 Ford Overpass,50263,Waukee,United States,41.60340569,-93.87691664,Search,09/06/2022 00:12:00
39356,Hannah,Moran,hannahmoran@example.org,56,F,Iowa,0292 Robert Garden,50263,Waukee,United States,41.60340569,-93.87691664,Search,11/12/2022 04:28:00
95135,Patricia,Smith,patriciasmith@example.net,58,F,Iowa,9066 Anderson Burg Apt. 016,50263,Waukee,United States,41.60340569,-93.87691664,Search,21/09/2022 14:25:00
56512,Edward,Singh,edwardsingh@example.org,35,M,Iowa,2733 Alicia Greens,50265,West Des Moines,United States,41.55493287,-93.73686293,Facebook,06/08/2020 08:39:00
82729,Colleen,Marshall,colleenmarshall@example.org,27,F,Iowa,4926 Sean Park,50265,West Des Moines,United States,41.55493287,-93.73686293,Display,03/01/2023 09:50:00
14648,Sheri,Rivera,sheririvera@example.org,59,F,Iowa,4936 Tamara Lodge Apt. 416,50266,West Des Moines,United States,41.56696467,-93.80123444,Facebook,10/05/2023 07:16:00
45337,Seth,George,sethgeorge@example.com,12,M,Iowa,48377 Stephanie Fort,50266,West Des Moines,United States,41.56696467,-93.80123444,Search,22/06/2022 13:59:00
99924,Juan,Townsend,juantownsend@example.com,32,M,Iowa,875 Brad Dam Suite 816,50266,West Des Moines,United States,41.56696467,-93.80123444,Organic,01/05/2023 07:02:00
4297,Susan,George,susangeorge@example.org,12,F,Iowa,8111 Blanchard Road,50310,Des Moines,United States,41.62847322,-93.67298722,Search,12/10/2022 08:49:00
6173,William,Ibarra,williamibarra@example.org,24,M,Iowa,4716 Anthony Drive,50310,Des Moines,United States,41.62847322,-93.67298722,Search,28/07/2019 06:11:00
20261,Robert,Fry,robertfry@example.net,63,M,Iowa,488 Stokes Mill,50310,Des Moines,United States,41.62847322,-93.67298722,Organic,24/06/2022 05:58:00
45845,Robert,Grant,robertgrant@example.net,65,M,Iowa,44930 Jonathan Manor,50310,Des Moines,United States,41.62847322,-93.67298722,Search,23/11/2020 11:09:00
57620,Joseph,Chen,josephchen@example.org,36,M,Iowa,1259 Montgomery Extensions Apt. 920,50310,Des Moines,United States,41.62847322,-93.67298722,Search,06/02/2022 02:36:00
63005,Jessica,Golden,jessicagolden@example.org,68,F,Iowa,622 Frey Run,50310,Des Moines,United States,41.62847322,-93.67298722,Search,27/12/2021 17:44:00
11203,Kevin,Clark,kevinclark@example.com,60,M,Iowa,73497 Julie Turnpike Apt. 540,50315,Des Moines,United States,41.54423249,-93.62022787,Search,19/02/2019 07:06:00
43310,Shannon,Nicholson,shannonnicholson@example.net,65,F,Iowa,591 Vang Views,50315,Des Moines,United States,41.54423249,-93.62022787,Search,04/10/2020 14:26:00
